DESCRIPTION,TYPE,ADDRESS,CITY,STATE,ZIP,PHONE
ALBERTSONS - #4279,GROCERY STORE,833 NE ALSBURY BLVD,BURLESON,TX,76028,817-447-9106
ALBERTSONS - #4290,GROCERY STORE,480 NORTHWEST PARKWAY,AZLE,TX,76020,817-270-1116
ALBERTSONS - #4176,GROCERY STORE,225 E. SPRING ST,WEATHERFORD,TX,76086,817-594-9390
CITY OF BURLESON,MUNICIPALITY,141 W RENFRO ST,BURLESON,TX,76028,817-426-9600
CITY OF GARLAND,MUNICIPALITY,217 N. FIFTH ST,GARLAND,TX,75040,972-205-2646
CENTRAL LIBRARY,LIBRARY,500 W. 3RD. STREET,FORT WORTH,TX,76102,817-871-7701
EAST REGIONAL LIBRARY,LIBRARY,6301 BRIDGE STREET,FORT WORTH,TX,76112,817-871-6436
SUMMERGLEN LIBRARY,LIBRARY,4205 BASSWOOD BLVD.,FORT WORTH,TX,76137,817-232-0478
SW REGIONAL LIBRARY,LIBRARY,4001 LIBRARY LANE,FORT WORTH,TX,76109,817-782-9853
FIESTA MART - #213,GROCERY STORE,1450 W PLEASANT RUN ,LANCASTER,TX,75146,972-218-8028
FRANK KENT HYUNDAI,CAR DEALERSHIP,9000 WEST FWY,FORT WORTH,TX,76108,817-367-4000
FRANK KENT HONDA,CAR DEALERSHIP,3400 WEST LOOP 820 SOUTH,FORT WORTH,TX,76116,817-717-1717
FRANK KENT CADILLAC,CAR DEALERSHIP,3500 WEST LOOP 820 SOUTH,FORT WORTH,TX,76116,817-989-4400
GRAYSON COUNTY TAX ASSESSOR,MUNICIPALITY,100 WEST HOUSTON ST,SHERMAN,TX,75090,903-892-8297
JOHNSON COUNTY SUB-COURTHOUSE,TAX ASSESSOR,206 NORTH BAUGH ST,ALVARADO,TX,76009,817-558-0122
JOHNSON COUNTY SUB-COURTHOUSE,TAX ASSESSOR,247 ELK DR,BURLESON,TX,76028,817-558-0122
JOHNSON COUNTY TAX OFFICE,TAX ASSESSOR,2 N MILL ST,CLEBURNE,TX,76033,817-558-0122
KROGER - #584,GROCERY STORE,3001 MATLOCK RD,MANSFIELD,TX,76063,817-473-0059
KROGER - #590,GROCERY STORE,1004 SOUTH CROWLEY RD,CROWLEY,TX,76036,817-297-0005
KROGER - #594,GROCERY STORE,3300 EAST BROAD ST,MANSFIELD,TX,76063,817-435-5417
TOM THUMB - #2557,GROCERY STORE,206 N. GRAND AVE.,GAINESVILLE,TX,76240,940-665-0311
TOM THUMB - #1972,GROCERY STORE,980 HWY NORTH 287,MANSFIELD,TX,76063,817-453-6770
TOM THUMB - #2609,GROCERY STORE,612 GRAPEVINE HWY,HURST,TX,76054,817-428-0383
ALBERTSONS - #4105,GROCERY STORE,4625 FRANKFORD RD,DALLAS,TX,75287,972-732-6291
ALBERTSONS - #226 ,GROCERY STORE,100 EAST TAYLOR ST,SHERMAN,TX,75090,903-868-9686
ALBERTSONS - #4129,GROCERY STORE,2828 MOTLEY DR,MESQUITE,TX,75149,972-270-2406
ALBERTSONS - #4187,GROCERY STORE,1500 S. BELTLINE RD,MESQUITE,TX,75149,972-285-0226
ALBERTSONS - #4234,GROCERY STORE,3001 S CENTRAL EXPY,MCKINNEY,TX,75069,972-548-1003
ALBERTSONS - #4260,GROCERY STORE,2165 BUCKINGHAM RD,RICHARDSON,TX,75081,972-680-1711
ALBERTSONS - #269 ,GROCERY STORE,2150 N. JOSEY LN.,CARROLTON,TX,75006,972-446-8226
ALBERTSONS - #296 ,GROCERY STORE,6800 VIRGINIA PKWY,MCKINNEY,TX,75069,972-542-8083
CITY OF FARMERS BRANCH,MUNICIPALITY,13000 WM DODSON PKY,FARMERS BRANCH,TX,75381,972-919-2526
CITY OF FRISCO,MUNICIPALITY,6101 FRISCO SQUARE BLVD,FRISCO,TX,75034,972-292-5000
CITY OF PLANO,MUNICIPALITY,1520 AVENUE K,PLANO,TX,75086,972-941-7000
CITY OF RICHARDSON,MUNICIPALITY,411 W ARAPAHO RD,RICHARDSON,TX,75080,972-744-4127
CITY OF WYLIE,MUNICIPALITY,300 COUNTRY CLUB RD,WYLIE,TX,75098,972-516-6100
FIESTA MART - #59,GROCERY STORE,"1200 E PARKER RD, PLANO, TX, 75074",PLANO,TX,75074,972-881-3211
FIESTA MART - #75,GROCERY STORE,1332 S PLANO RD,RICHARDSON,TX,75081,972-994-4300
FIESTA MART - #210,GROCERY STORE,10121 E LAKE JUNE ,DALLAS,TX,75217,972-285-8907
KROGER - #450,GROCERY STORE,3600 GUS THOMASSON RD,MESQUITE,TX,75150,972-270-3589
KROGER - #488,GROCERY STORE,1707 W UNIVERSITY,MCKINNEY,TX,75069,972-548-9053
KROGER - #517,GROCERY STORE,160 N COIT RD,RICHARDSON,TX,75080,972-664-0990
KROGER - #526,GROCERY STORE,536 CENTENNIAL,RICHARDSON,TX,75081,972-437-2233
KROGER- #540,GROCERY STORE,3305 N DALLAS PKY,PLANO,TX,75093,972-608-4698
KROGER - #544,GROCERY STORE,1212 E BETHANY DR,ALLEN,TX,75002,972-727-9299
KROGER - #548,GROCERY STORE,1210 N GREENVILLE AVE,ALLEN,TX,75002,214-383-7100
KROGER - #557,GROCERY STORE,6850 N SHILOH RD,GARLAND,TX,75044,972-496-4603
KROGER - #560,GROCERY STORE,7500 PRESTON RD,FRISCO,TX,75034,972-377-0850
KROGER - #587,GROCERY STORE,3939 FRANKFORD,DALLAS,TX,75287,972-662-1000
KROGER - # 689,GROCERY STORE,17194 PRESTON RD,DALLAS,TX,75248,972-931-5794
LBJ EXPRESS,TRANSPORTATION AGENCY,4545 LBJ FREEWAY,FARMERS BRANCH,TX,75244,972-239-5000
TOM THUMB - #2581,GROCERY STORE,4848 PRESTON ROAD,FRISCO,TX,75034,972-377-1800
TOM THUMB - #2963,GROCERY STORE,5550 FM423,FRISCO,TX,75034,214-494-6213
TOM THUMB - #1788,GROCERY STORE,7801 ALMA DR. ,PLANO,TX,75025,972-527-0961
TOM THUMB - #3645,GROCERY STORE,2200 EAST 14TH ST.,PLANO,TX,75074,972-423-4105
TOM THUMB - #2570,GROCERY STORE,5968 WEST PARKER RD,PLANO,TX,75093,972-473-3300
TOM THUMB - #2595 ,GROCERY STORE,3945 LEGACY DR,PLANO,TX,75023,972-491-2200
TOM THUMB - #2554,GROCERY STORE,3100 INDEPENDENCE PKWY,PLANO,TX,75075,972-596-4420
TOM THUMB - #3637,GROCERY STORE,1380 W. CAMPBELL RD,RICHARDSON,TX,75080,972-680-6010
TOM THUMB - #3641,GROCERY STORE,3411 CUSTER PKWY,RICHARDSON,TX,75080,972-470-1360
TOM THUMB - #2526,GROCERY STORE,819 W. ARAPAHO RD SUITE 39,RICHARDSON,TX,75080,972-235-3917
TOM THUMB - #3853,GROCERY STORE,3001 HARDIN BLVD,MCKINNEY,TX,75070,469-678-3677
TOM THUMB - #2561,GROCERY STORE,925 NORTHWEST HIGHWAY ,GARLAND,TX,75041,972-271-0582
TOM THUMB - #4239,GROCERY STORE,921 WESTGATE,WYLIE,TX,75098,972-429-7840
TOM THUMB - #3579,GROCERY STORE,900 W. MCDERMOTT DR. ,ALLEN,TX,75013,214-495-3710
TOM THUMB - #1540,GROCERY STORE,3757 FOREST LN.,DALLAS,TX,75234,972-241-4426
TOM THUMB - #3582,GROCERY STORE,18212 PRESTON ,DALLAS,TX,75252,972-985-2240
TOM THUMB - #2642,GROCERY STORE,5809 EAST LOVERS LN,DALLAS,TX,75206,214-750-3200
TOM THUMB - #2990,GROCERY STORE,7117 INWOOD RD,DALLAS,TX,75209,214-350-3883
TOM THUMB - #3560,GROCERY STORE,8698 SKILLMAN ST,DALLAS,TX,75243,214-340-1266
TOM THUMB - #2544,GROCERY STORE,10455 NORTH CENTRAL EXPWY,DALLAS,TX,75231,214-369-9694
TOM THUMB - #1784,GROCERY STORE,1501 PIONEER RD,MESQUITE,TX,75149,972-290-3350
TOWN OF FAIRVIEW,MUNICIPALITY,372 TOWN PL,FAIRVIEW,TX,75069,972-562-0522
TOWN OF PROSPER,MUNICIPALITY,121 W BROADWAY ST,PROSPER,TX,75078,972-346-2640
ALBERTSONS - #4142,GROCERY STORE,301 SOUTHWEST PLZ,ARLINGTON,TX,76016,817-478-4291
ALBERTSONS - #4152,GROCERY STORE,2321 W UNIVERSITY,DENTON,TX,76201,940-383-2391
