Center,Center Name,Address,City,ST,Zip,Phone,Open Mon.,Closed Mon.,Open Tues.,Closed Tues.,Open Wed.,Closed Wed.,Open            Thur,Closed Thurs.,Open          Fri.,Closed Fri.,Open Sat.,Closed Sat.,Open Sun.,Closed Sun.,Longitude,Latitude
315,ACE CASH EXPRESS #0315,3117 AL LIPSCOMB WAY,DALLAS,TX,75215,2144214894,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.768468,32.774702
318,ACE CASH EXPRESS 0318,3029 SOUTH FRWY,FORT WORTH,TX,76104,8179219722,900,1800,900,1800,900,1800,900,1800,900,1900,900,1700,0,0,-97.320144,32.707227
320,ACE CASH EXPRESS 0320,201 W MAIN ST,GRAND PRAIRIE,TX,75050,9722627919,900,1900,900,1900,900,1900,900,1900,900,2000,1000,1700,0,0,-97.005206,32.745328
321,ACE CASH EXPRESS 0321,500 N GALLOWAY AVE,MESQUITE,TX,75149,9722891201,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.598901,32.771057
323,ACE CASH EXPRESS 0323,3418 OAK LAWN AVE,DALLAS,TX,75219,2145202274,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.806379,32.811101
324,ACE CASH EXPRESS 0324,5111 GREENVILLE AVE,DALLAS,TX,75206,2146962274,900,2000,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.770286,32.849112
328,ACE CASH EXPRESS 0328,1914 E BELTLINE RD,CARROLLTON,TX,75006,9724162274,800,2000,800,2000,800,2000,800,2000,800,2000,830,2000,0,0,-96.889452,32.95343
331,ACE CASH EXPRESS 0331,2243 S COOPER ST,ARLINGTON,TX,76013,8172742274,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.116262,32.707766
337,ACE CASH EXPRESS 0337,3658 N BELT LINE RD,IRVING,TX,75062,9722521207,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.991865,32.856015
341,ACE CASH EXPRESS 0341,1409 N BELTLINE RD,IRVING,TX,75061,9729862274,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.994024,32.828911
342,ACE CASH EXPRESS 0342,2230 N COLLINS ST,ARLINGTON,TX,76011,8178612414,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.09718,32.77055
354,ACE CASH EXPRESS 0354,9730 ABRAMS RD,DALLAS,TX,75243,2143402274,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,1200,1800,-96.735264,32.908523
355,ACE CASH EXPRESS 0355,2905 ARKANSAS LN,GRAND PRAIRIE,TX,75052,9726414859,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.049299,32.70602
360,ACE CASH EXPRESS 0360,9096 HWY 80 W,FORT WORTH,TX,76116,8175608768,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.47209,32.72501
366,ACE CASH EXPRESS 0366,383 PIPELINE RD,BEDFORD,TX,76022,8172800122,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.160327,32.8237
375,ACE CASH EXPRESS 0375,3317 W WALNUT HILL LN,IRVING,TX,75038,9726590019,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.990502,32.86548
380,ACE CASH EXPRESS 0380,1095 WYNNEWOOD PLAZA,DALLAS,TX,75224,2149462274,1000,1900,1000,1900,1000,1900,1000,1900,1000,2000,1000,1800,0,0,-96.832863,32.721613
381,ACE CASH EXPRESS 0381,6245 RUFE SNOW DR,WATAUGA,TX,76148,8174288008,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.238229,32.859488
384,ACE CASH EXPRESS 0384,1120 W CAMP WISDOM RD,DALLAS,TX,75232,9722248074,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,0,0,-96.840487,32.661973
388,ACE CASH EXPRESS 0388,1060 N MAIN ST,EULESS,TX,76039,8175711186,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.082397,32.851442
389,ACE CASH EXPRESS 0389,1125 W 6TH ST,IRVING,TX,75060,9722592045,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.959386,32.808761
393,ACE CASH EXPRESS 0393,105 S CENTRAL EXPY,RICHARDSON,TX,75080,9727836777,900,1900,900,1900,900,1900,900,1900,900,2000,1000,1800,0,0,-96.73459,32.949927
395,ACE CASH EXPRESS 0395,3801 GUS THOMASSON RD,MESQUITE,TX,75150,9722708282,800,1900,800,1900,800,1900,800,1900,800,2000,800,1800,0,0,-96.636582,32.815171
396,ACE CASH EXPRESS 0396,5441 ALPHA RD,DALLAS,TX,75240,9729918282,900,1900,900,1900,900,1900,900,1900,900,1900,900,1800,0,0,-96.814536,32.932966
1302,ACE CASH EXPRESS 1302,205 N BARTON ST,GRAPEVINE,TX,76051,8174210994,900,1900,900,1900,900,1900,900,1900,900,2000,1000,1700,0,0,-97.079049,32.941587
