Agent,Location Name,Address,City,St,Zip,County,Loc Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
400605,Valero Gas,101 North Forest Hill Dr,Everman,TX,440920000,TARRANT,8172935402,,,,,,,
17089,ATCHISON CASH SAVER,2016 HIGHWAY 59,ATCHISON,KS,660020000,ATCHISON,9133672151,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,7AM-9PM
22528,ATCHISON CASH SAVER B,2016 HIGHWAY 59,ATCHISON,KS,660020000,ATCHISON,19133672151,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,7AM-9PM
27142,SUPER STORE,912 DIVISION ST,ATCHISON,KS,660020000,ATCHISON,19133673548,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM
30534,HIGHLAND STOP & SHOP,707 W MAIN ST,HIGHLAND,KS,660354164,DONIPHAN,7854423604,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-12AM,6AM-12AM,6AM-11PM
17107,LAWRENCE HY VEE,3504 CLINTON PARKWAY,LAWRENCE,KS,660470000,DOUGLAS,7858320044,6AM-9PM,6AM-9PM,6AM-9PM,6AM-9PM,6AM-9PM,6AM-9PM,6AM-9PM
28575,STAR GAS,788 SPRUCE ST,LEAVENWORTH,KS,660480000,LEAVENWORTH,9136826026,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,7AM-10PM
30088,FAV TRIP,1300 S 4TH ST,LEAVENWORTH,KS,660480000,LEAVENWORTH,9136828747,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
30466,HOMETOWN STORE,111 N BROADWAY ST,LEAVENWORTH,KS,660481845,LEAVENWORTH,9136828330,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM
17106,LAWRENCE HY VEE #2,4000 W.6TH,LAWRENCE,KS,660490000,DOUGLAS,7858329449,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
19465,LA ESTRELLA,922 E HIGHWAY 56,OLATHE,KS,660614989,JOHNSON,9137648385,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-8PM
21552,CARNICERIA Y ABORROTES,828 S HARRISON ST,OLATHE,KS,660610000,JOHNSON,9137644255,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM
31338,FAST SNACK PACK 1,12885 S MURLEN RD.,OLATHE,KS,660620000,JOHNSON,9138153632,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
30582,RAPID MART,748 WASHINGTON BLVD,KANSAS CITY,KS,661012114,WYANDOTTE,9132790020,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM
31478,CHIPS & COINS,720 MINNESOTA AVE,KANSAS CITY,KS,661010000,WYANDOTTE,9138716867,7AM-11PM,7AM-11PM,7AM-11PM,7AM-11PM,7AM-11PM,7AM-11PM,12PM-5PM
24815,CITGO FOOD STORE#2/J&B MI,50 S 10TH ST,KANSAS CITY,KS,661020000,WYANDOTTE,19136600035,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM
25897,QUICK SHOP #4,4732 STATE AVE,KANSAS CITY,KS,661020000,WYANDOTTE,9132878881,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,7AM-11PM
26888,SHORT STOP #103,308 N 18TH ST,KANSAS CITY,KS,661020000,WYANDOTTE,9133711818,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
30732,QUICK SHOP #1,3200 STATE AVE,KANSAS CITY,KS,661020000,WYANDOTTE,9133716887,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM
31828,SHOP N GO,1710 MINNESOTA AVE,KANSAS CITY,KS,661024222,WYANDOTTE,9135732466,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
30373,QUICK SHOP #3,5568 LEAVENWORTH RD,KANSAS CITY,KS,661042048,WYANDOTTE,9135961368,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
24923,FAST STOP #12,945 S 55TH ST,KANSAS CITY,KS,661061309,WYANDOTTE,9132875990,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
27706,FAST SNACK PACK,914 S 55TH ST,KANSAS CITY,KS,661060000,WYANDOTTE,9137661386,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM
29139,METRO EXPRESS STOP,2101 METROPOLITAN AVE,KANSAS CITY,KS,661060000,WYANDOTTE,9132369443,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM
29140,MULTISER INC,2718 STRONG AVE,KANSAS CITY,KS,661060000,WYANDOTTE,9137220615,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-6PM,CLOSED
30372,QUICK SHOP #5,4201 SHAWNEE DR,KANSAS CITY,KS,661060000,WYANDOTTE,9132620591,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
30465,SUPER STORE,13815 POLFER RD,KANSAS CITY,KS,661092744,WYANDOTTE,9137212277,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM
22703,CARNICERIA LUPITA,9954 W 87th St,OVERLAND PARK,KS,662124768,JOHNSON,19132202796,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-7PM
30467,HORTON SUPER STORE,1450 CENTRAL AVE,HORTON,KS,664391734,BROWN,7854862988,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,7AM-11PM,7AM-11PM
29429,UNCLE ZIGGY'S PAWN SHOP,1017 N WASHINGTON,JUNCTION CITY,KS,664410000,GEARY,7855796799,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-5PM,1PM-5PM
31194,MONEY TO GO,128 GRANT AVE,JUNCTION CITY,KS,664410000,GEARY,7857627170,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-2PM,CLOSED
31242,MONEY ZONE,314 E CHESTNUT ST,JUNCTION CITY,KS,664410000,GEARY,7852235560,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,9AM-2PM,CLOSED
26574,HY-VEE #1398,601 THIRD PLACE,MANHATTAN,KS,665020000,RILEY,7855878609,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
25877,COUNTRY HARVEST APPLE MKT,7312 K4 HWY,MERIDEN,KS,665120000,JEFFERSON,7854843580,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,1PM-5PM
23099,DOWNTOWN BP (GREYHOUND),600 SE QUINCY,TOPEKA,KS,666030000,SHAWNEE,17852321163,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,CLOSED,CLOSED
28679,DOWNTOWN BP  (B),600 SE QUINCY,TOPEKA,KS,666030000,SHAWNEE,7852321163,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,CLOSED,CLOSED
32122,29th Street Gas & Shop,1611 SE 29th St,Topeka,KS,666052601,SHAWNEE,7854085329,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
30300,6TH STREET QUICK STOP,1107 SW 6TH AVE,TOPEKA,KS,666060000,SHAWNEE,7852725450,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM
30409,VALERO,2044 NW TYLER ST,TOPEKA,KS,666080000,SHAWNEE,7853575202,5AM-11PM,5AM-11PM,5AM-11PM,5AM-11PM,5AM-11PM,5AM-11PM,5AM-11PM
30410,GAS N SHOP,1900 NW TOPEKA BLVD,TOPEKA,KS,666080000,SHAWNEE,7852325745,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
